months_as_customer,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,vehicle_claim,auto_make,auto_model,fraud_reported
328.0,OH,250/500,1000.0,1406.91,0.0,MALE,MD,craft-repair,sleeping,husband,53300.0,0.0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,1.0,YES,1.0,2.0,YES,52080.0,Saab,92x,1.0
228.0,IN,250/500,2000.0,1197.22,5000000.0,MALE,MD,machine-op-inspct,reading,other-relative,0.0,0.0,Vehicle Theft,?,Minor Damage,Police,VA,1.0,?,0.0,0.0,?,3510.0,Mercedes,E400,1.0
134.0,OH,100/300,2000.0,1413.14,5000000.0,FEMALE,PhD,sales,board-games,own-child,35100.0,0.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,3.0,NO,2.0,3.0,NO,23100.0,Dodge,RAM,0.0
256.0,IL,250/500,2000.0,1415.74,6000000.0,FEMALE,PhD,armed-forces,board-games,unmarried,48900.0,-62400.0,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,1.0,?,1.0,2.0,NO,50720.0,Chevrolet,Tahoe,1.0
228.0,IL,500/1000,1000.0,1583.91,6000000.0,MALE,Associate,sales,board-games,unmarried,66000.0,-46000.0,Vehicle Theft,?,Minor Damage,,NY,1.0,NO,0.0,1.0,NO,4550.0,Accura,RSX,0.0
256.0,OH,250/500,1000.0,1351.1,0.0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0.0,0.0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,3.0,NO,0.0,2.0,NO,51280.0,Saab,95,1.0
137.0,IN,250/500,1000.0,1333.35,0.0,MALE,PhD,prof-specialty,board-games,husband,0.0,-77000.0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,3.0,?,0.0,0.0,?,50050.0,Nissan,Pathfinder,0.0
165.0,IL,100/300,1000.0,1137.03,0.0,MALE,Associate,tech-support,base-jumping,unmarried,0.0,0.0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,3.0,?,2.0,2.0,YES,32830.0,Audi,A5,0.0
27.0,IL,100/300,500.0,1442.99,0.0,FEMALE,PhD,other-service,golf,own-child,0.0,0.0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,1.0,NO,1.0,1.0,YES,22160.0,Toyota,Camry,0.0
212.0,IL,100/300,500.0,1315.68,0.0,MALE,PhD,priv-house-serv,camping,wife,0.0,-39300.0,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,1.0,NO,2.0,1.0,?,32900.0,Saab,92x,0.0
235.0,OH,100/300,500.0,1253.12,4000000.0,FEMALE,Masters,exec-managerial,dancing,other-relative,38400.0,0.0,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,1.0,YES,2.0,2.0,?,63280.0,Ford,F150,0.0
447.0,OH,100/300,2000.0,1137.16,0.0,FEMALE,High School,exec-managerial,skydiving,other-relative,0.0,-51000.0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,3.0,YES,1.0,2.0,YES,79560.0,Audi,A3,0.0
60.0,OH,500/1000,500.0,1215.36,3000000.0,MALE,MD,protective-serv,reading,wife,0.0,0.0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,1.0,YES,1.0,0.0,NO,42390.0,Saab,95,0.0
121.0,OH,100/300,1000.0,936.61,0.0,FEMALE,MD,armed-forces,bungie-jumping,wife,52800.0,-32800.0,Parked Car,?,Minor Damage,,SC,1.0,NO,1.0,1.0,NO,5040.0,Toyota,Highlander,0.0
180.0,OH,250/500,2000.0,1301.13,0.0,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300.0,-55500.0,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,1.0,NO,0.0,2.0,YES,33600.0,Dodge,Neon,1.0
473.0,IN,100/300,2000.0,1131.4,0.0,FEMALE,MD,transport-moving,movies,other-relative,55700.0,0.0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,4.0,YES,0.0,0.0,NO,42080.0,Accura,MDX,1.0
70.0,OH,500/1000,1000.0,1199.44,5000000.0,MALE,College,machine-op-inspct,hiking,own-child,63600.0,0.0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,3.0,?,1.0,2.0,YES,40530.0,Nissan,Maxima,0.0
140.0,IN,500/1000,500.0,708.64,6000000.0,MALE,High School,machine-op-inspct,reading,unmarried,53500.0,0.0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,1.0,NO,0.0,2.0,YES,56640.0,Suburu,Legacy,0.0
160.0,OH,500/1000,500.0,1374.22,0.0,FEMALE,MD,craft-repair,yachting,other-relative,45500.0,-37800.0,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,1.0,YES,1.0,0.0,NO,53040.0,Accura,TL,0.0
